from,to,share
DEU,LVA,0.10891261444486584
IRL,LVA,0.06985781376482239
USA,LVA,0.06322808697412613
HKG,MAC,0.5105308991590607
SGP,MAC,0.15436709291524126
CHN,MAC,0.12979040973863937
USA,MAC,0.12531038343779724
CAN,MAC,0.04246763063126006
FRA,MAR,0.3191528607437977
ESP,MAR,0.23302817831724962
ITA,MAR,0.13940225522147046
BEL,MAR,0.07435810009740342
NLD,MAR,0.0568905377522282
RUS,MDA,0.26572338814498636
ROU,MDA,0.2528425459775629
UKR,MDA,0.12638319324298702
USA,MDA,0.04889748703222216
ITA,MDA,0.046477058951398705
FRA,MDG,0.8502679671621779
DEU,MDG,0.023544109543617124
CAN,MDG,0.02164721002230614
COM,MDG,0.020455106603719353
LKA,MDV,0.33660147984042876
IND,MDV,0.20655090808389942
AUS,MDV,0.18975164198766062
GBR,MDV,0.10208216886641579
DEU,MDV,0.02541565046953007
USA,MEX,0.9716466702571409
USA,MHL,0.9743211623048031
DEU,MKD,0.2610436817820267
CHE,MKD,0.1533224935766363
AUS,MKD,0.09260031468453446
SRB,MKD,0.0821460459781143
TUR,MKD,0.06977352227869558
CIV,MLI,0.35853018592501545
FRA,MLI,0.14596106278201776
NGA,MLI,0.11628168419952635
MRT,MLI,0.07790164446606776
NER,MLI,0.06291479628317145
AUS,MLT,0.40202866324447245
GBR,MLT,0.302484158031094
USA,MLT,0.1265117981367016
CAN,MLT,0.08138340908086872
THA,MMR,0.48737069809445377
BGD,MMR,0.19909455373490031
MYS,MMR,0.1033127698565956
SAU,MMR,0.09232253467092441
USA,MMR,0.06225967548733856
SRB,MNE,0.49093029552383244
DEU,MNE,0.19230293114467578
MKD,MNE,0.0626815927766048
HRV,MNE,0.04109105013080077
BIH,MNE,0.02778034125863551
KOR,MNG,0.3197970063376203
RUS,MNG,0.2030598132202977
CZE,MNG,0.11100205802721602
AUS,MNG,0.07169402989382972
DEU,MNG,0.07132564631513863
ZAF,MOZ,0.5598604045390533
PRT,MOZ,0.1955933262346564
ZWE,MOZ,0.11686686515843264
MWI,MOZ,0.03531411917798363
SEN,MRT,0.3022630482966305
FRA,MRT,0.22868688269699236
MLI,MRT,0.15770784413562122
CIV,MRT,0.08391522713618613
ESP,MRT,0.07665381438674347
FRA,MUS,0.31559424017751503
GBR,MUS,0.2300078330724003
AUS,MUS,0.17126078021823624
CAN,MUS,0.09651592069036685
ZAF,MUS,0.05344033311270596
ZAF,MWI,0.3672004701101607
ZWE,MWI,0.2668417020445787
MOZ,MWI,0.14162303828793094
GBR,MWI,0.1283696855897048
ZMB,MWI,0.035207672289093356
SGP,MYS,0.6340686457153745
BGD,MYS,0.09666769498212065
AUS,MYS,0.092160640743201
USA,MYS,0.041708057799219524
GBR,MYS,0.032853858779829284
ZAF,NAM,0.7171027982049576
GBR,NAM,0.05801315916925818
AUS,NAM,0.04212383884673418
CAN,NAM,0.0268356634852207
DEU,NAM,0.02404542243002225
NGA,NER,0.2969240557851091
BEN,NER,0.17621257255712944
CIV,NER,0.17196892709819758
TGO,NER,0.13538973450176858
FRA,NER,0.05269774900679476
USA,NGA,0.29311700821320524
GBR,NGA,0.14190936380259422
CMR,NGA,0.06954181177299268
ITA,NGA,0.06384462156774384
NER,NGA,0.0634475443210641
CRI,NIC,0.42848061018155154
USA,NIC,0.4228012536778326
ESP,NIC,0.06038694291784323
PAN,NIC,0.020268004407889607
DEU,NLD,0.15808800233288645
BEL,NLD,0.1382643437693369
CAN,NLD,0.10475622370162385
USA,NLD,0.08858196246202009
AUS,NLD,0.07723912767286303
SWE,NOR,0.21098496549365725
USA,NOR,0.1180269372506795
DNK,NOR,0.1068869310726144
GBR,NOR,0.10503286011430706
