from,to,share
USA,LKA,0.028619715273478803
FRA,LKA,0.028025692675854433
ZAF,LSO,0.9551319545491028
MOZ,LSO,0.02874385904159062
GBR,LTU,0.22491553881024567
RUS,LTU,0.11100347156725518
POL,LTU,0.10399836777722724
DEU,LTU,0.09484394146300039
IRL,LTU,0.07368992735707677
NOR,LTU,0.07040129150289141
USA,LTU,0.056536136437678644
ESP,LTU,0.04033833467311428
UKR,LTU,0.03879136774201286
BLR,LTU,0.026767215686633643
DEU,LUX,0.2885859770921273
FRA,LUX,0.1942694033551446
BEL,LUX,0.17916278619722056
ITA,LUX,0.054959542326346464
PRT,LUX,0.05445155359885823
USA,LUX,0.04686800759564097
GBR,LUX,0.04008272959276237
CHE,LUX,0.0297899103762745
NLD,LUX,0.023053012252204304
RUS,LVA,0.2251726895366258
GBR,LVA,0.20735354521686514
DEU,LVA,0.10891261444486584
IRL,LVA,0.06985781376482239
USA,LVA,0.06322808697412613
UKR,LVA,0.049958000842927536
NOR,LVA,0.0328277810372361
BLR,LVA,0.02604137352853677
SWE,LVA,0.02488143128027327
ESP,LVA,0.02306131739599679
HKG,MAC,0.5105308991590607
SGP,MAC,0.15436709291524126
CHN,MAC,0.12979040973863937
USA,MAC,0.12531038343779724
CAN,MAC,0.04246763063126006
AUS,MAC,0.02106229822907405
FRA,MAR,0.3191528607437977
ESP,MAR,0.23302817831724962
ITA,MAR,0.13940225522147046
BEL,MAR,0.07435810009740342
NLD,MAR,0.0568905377522282
DEU,MAR,0.04121611148657467
ISR,MAR,0.039271000252375406
USA,MAR,0.028434890394894326
CAN,MAR,0.023462779870327834
RUS,MDA,0.26572338814498636
ROU,MDA,0.2528425459775629
UKR,MDA,0.12638319324298702
USA,MDA,0.04889748703222216
ITA,MDA,0.046477058951398705
DEU,MDA,0.03571274065152996
FRA,MDA,0.03244747517949239
GBR,MDA,0.03160041001055509
ESP,MDA,0.022702490389531215
PRT,MDA,0.020706919966923608
FRA,MDG,0.8502679671621779
DEU,MDG,0.023544109543617124
CAN,MDG,0.02164721002230614
COM,MDG,0.020455106603719353
LKA,MDV,0.33660147984042876
IND,MDV,0.20655090808389942
AUS,MDV,0.18975164198766062
GBR,MDV,0.10208216886641579
DEU,MDV,0.02541565046953007
CHE,MDV,0.024702947982673078
USA,MEX,0.9716466702571409
USA,MHL,0.9743211623048031
DEU,MKD,0.2610436817820267
CHE,MKD,0.1533224935766363
AUS,MKD,0.09260031468453446
SRB,MKD,0.0821460459781143
TUR,MKD,0.06977352227869558
USA,MKD,0.06655366023326201
AUT,MKD,0.05745924212161619
SVN,MKD,0.03728260437113319
ITA,MKD,0.028744060374773128
CAN,MKD,0.02139273892306979
CIV,MLI,0.35853018592501545
FRA,MLI,0.14596106278201776
NGA,MLI,0.11628168419952635
MRT,MLI,0.07790164446606776
NER,MLI,0.06291479628317145
GAB,MLI,0.04774558424006286
ESP,MLI,0.032118601798692435
GIN,MLI,0.026651408207414833
ITA,MLI,0.025775410438181264
SEN,MLI,0.022336273605778327
AUS,MLT,0.40202866324447245
GBR,MLT,0.302484158031094
USA,MLT,0.1265117981367016
CAN,MLT,0.08138340908086872
THA,MMR,0.48737069809445377
BGD,MMR,0.19909455373490031
MYS,MMR,0.1033127698565956
SAU,MMR,0.09232253467092441
USA,MMR,0.06225967548733856
SRB,MNE,0.49093029552383244
DEU,MNE,0.19230293114467578
MKD,MNE,0.0626815927766048
HRV,MNE,0.04109105013080077
BIH,MNE,0.02778034125863551
LUX,MNE,0.025784135807533155
SVN,MNE,0.024842709086271703
CHE,MNE,0.023795248447709687
KOR,MNG,0.3197970063376203
RUS,MNG,0.2030598132202977
CZE,MNG,0.11100205802721602
AUS,MNG,0.07169402989382972
DEU,MNG,0.07132564631513863
SWE,MNG,0.057418152351793365
AUT,MNG,0.02318342678827218
HUN,MNG,0.020607189193433184
ZAF,MOZ,0.5598604045390533
PRT,MOZ,0.1955933262346564
ZWE,MOZ,0.11686686515843264
MWI,MOZ,0.03531411917798363
SEN,MRT,0.3022630482966305
FRA,MRT,0.22868688269699236
MLI,MRT,0.15770784413562122
CIV,MRT,0.08391522713618613
ESP,MRT,0.07665381438674347
BEL,MRT,0.02741639744520866
GMB,MRT,0.023763392144417694
COG,MRT,0.02038072606571424
FRA,MUS,0.31559424017751503
GBR,MUS,0.2300078330724003
AUS,MUS,0.17126078021823624
CAN,MUS,0.09651592069036685
ZAF,MUS,0.05344033311270596
ITA,MUS,0.042952971771336536
IRL,MUS,0.022009043913872782
ZAF,MWI,0.3672004701101607
ZWE,MWI,0.2668417020445787
MOZ,MWI,0.14162303828793094
GBR,MWI,0.1283696855897048
ZMB,MWI,0.035207672289093356
SGP,MYS,0.6340686457153745
BGD,MYS,0.09666769498212065
AUS,MYS,0.092160640743201
USA,MYS,0.041708057799219524
GBR,MYS,0.032853858779829284
BRN,MYS,0.02794055895684748
ZAF,NAM,0.7171027982049576
GBR,NAM,0.05801315916925818
AUS,NAM,0.04212383884673418
CAN,NAM,0.0268356634852207
DEU,NAM,0.02404542243002225
NGA,NER,0.2969240557851091
BEN,NER,0.17621257255712944
CIV,NER,0.17196892709819758
TGO,NER,0.13538973450176858
FRA,NER,0.05269774900679476
CMR,NER,0.028016721302462397
MLI,NER,0.027180836478608847
BFA,NER,0.02692101479665064
USA,NGA,0.29311700821320524
GBR,NGA,0.14190936380259422
CMR,NGA,0.06954181177299268
ITA,NGA,0.06384462156774384
NER,NGA,0.0634475443210641
DEU,NGA,0.05354276527000671
BEN,NGA,0.035732014875752914
GHA,NGA,0.03399043780661081
CAN,NGA,0.030022999687652784
CRI,NIC,0.42848061018155154
USA,NIC,0.4228012536778326
ESP,NIC,0.06038694291784323
PAN,NIC,0.020268004407889607
DEU,NLD,0.15808800233288645
BEL,NLD,0.1382643437693369
CAN,NLD,0.10475622370162385
USA,NLD,0.08858196246202009
AUS,NLD,0.07723912767286303
