source,target,v
156,442,878689.7840000018
380,442,849508.9080000003
826,442,749986.4009999994
616,442,587035.6809999999
392,442,569823.89
156,446,3990375.125000004
344,446,2908943.792000005
842,446,640279.3210000012
251,446,437629.331000001
392,446,401609.23900000023
380,446,384232.8010000006
704,446,357510.9879999998
702,446,313512.1819999998
826,446,309532.4189999995
276,446,218963.76899999994
156,450,1060554.746999999
251,450,503538.91099999903
512,450,491747.07400000014
699,450,389450.3689999998
784,450,254125.93099999957
710,450,234593.8560000001
56,450,181164.93999999994
458,450,166812.15300000005
480,450,165728.41400000037
586,450,143643.62500000003
710,454,519244.7710000002
156,454,502875.70199999964
784,454,397753.8740000006
894,454,176314.52200000026
699,454,170630.19900000002
834,454,163325.389
508,454,111847.07500000003
826,454,94858.85499999994
414,454,89675.63
392,454,72459.60900000004
156,458,68812921.02000007
702,458,32546842.087000016
842,458,18795081.779000003
392,458,13831674.16299998
360,458,13114573.383000009
